"الرقم","الكلمة","السورة والآية","المعنى (عربي)","الكلمة (Svenska)","الآية كاملة","ترجمة الآية (Svenska)"
1,"يَتَسَاءَلُونَ","النبأ (1)","يسأل بعضهم بعضاً","Frågar varandra","عَمَّ يَتَسَاءَلُونَ","Vad är det de frågar varandra om"
2,"النَّبَأِ","النبأ (2)","الخبر العظيم","Den stora nyheten","عَنِ النَّبَأِ الْعَظِيمِ","[De frågar] om den stora nyheten"
3,"مِهَادًا","النبأ (6)","ممهدة كالفراش","Bädd / Viloplats","أَلَمْ نَجْعَلِ الْأَرْضَ مِهَادًا","Har Vi inte gjort jorden till en bädd"
4,"أَوْتَادًا","النبأ (7)","رواسي تثبت الأرض","Pålar","وَالْجِبَالَ أَوْتَادًا","och bergen till pålar"
5,"أَزْوَاجًا","النبأ (8)","أصنافاً (ذكراً وأنثى)","I par","وَخَلَقْنَاكُمْ أَزْوَاجًا","och Vi har skapat er i par"
6,"سُبَاتًا","النبأ (9)","راحة للأبدان","Vila","وَجَعَلْنَا نَوْمَكُمْ سُبَاتًا","och gjort sömnen till vila för er"
7,"لِبَاسًا","النبأ (10)","ساتراً بظلامه","Klädnad","وَجَعَلْنَا اللَّيْلَ لِبَاسًا","och gjort natten till en klädnad"
8,"مَعَاشًا","النبأ (11)","وقتاً للسعي والرزق","Tid för utkomst","وَجَعَلْنَا النَّهَارَ مَعَاشًا","och gjort dagen till en tid för utkomst"
9,"شِدَادًا","النبأ (12)","قوية محكمة","Fasta (himlar)","وَبَنَيْنَا فَوْقَكُمْ سَبْعًا شِدَادًا","Och ovanför er har Vi byggt sju fasta [himlar]"
10,"سِرَاجًا","النبأ (13)","مصباحاً (الشمس)","Lampa (Solen)","وَجَعَلْنَا سِرَاجًا وَهَّاجًا","och hängt upp en flammande lampa"
11,"وَهَّاجًا","النبأ (13)","مضيئاً متوقداً","Flammande","وَجَعَلْنَا سِرَاجًا وَهَّاجًا","och hängt upp en flammande lampa"
12,"الْمُعْصِرَاتِ","النبأ (14)","السحب الممطرة","Regnmoln","وَأَنزَلْنَا مِنَ الْمُعْصِرَاتِ مَاءً ثَجَّاجًا","och [att Vi] låter regn flöda ur de tunga molnen"
13,"ثَجَّاجًا","النبأ (14)","منصبّاً بكثرة","Flödande","وَأَنزَلْنَا مِنَ الْمُعْصِرَاتِ مَاءً ثَجَّاجًا","och [att Vi] låter regn flöda ur de tunga molnen"
14,"أَلْفَافًا","النبأ (16)","ملتفة الأشجار","Täta (snår)","وَجَنَّاتٍ أَلْفَافًا","och lummiga trädgårdar"
15,"مِيقَاتًا","النبأ (17)","وقتاً محدداً","En fastställd tid","إِنَّ يَوْمَ الْفَصْلِ كَانَ مِيقَاتًا","Åtskillnadens dag är sannerligen en fastställd tid"
16,"فُتِحَتِ","النبأ (19)","شقت لنزول الملائكة","Öppnas","وَفُتِحَتِ السَّمَاءُ فَكَانَتْ أَبْوَابًا","Och himlen öppnas med portar på glänt"
17,"سُيِّرَتِ","النبأ (20)","نسفت من أماكنها","Sätts i rörelse","وَسُيِّرَتِ الْجِبَالُ فَكَانَتْ سَرَابًا","och bergen sätts i rörelse och blir en hägring"
18,"مِرْصَادًا","النبأ (21)","مكاناً للترصد","Bakhåll","إِنَّ جَهَنَّمَ كَانَتْ مِرْصَادًا","Helvetet ligger i bakhåll"
19,"مَآبًا","النبأ (22)","مرجعاً ومأوى","Hemvist","لِّلطَّاغِينَ مَآبًا","en hemvist för de trotsiga syndarna"
20,"أَحْقَابًا","النبأ (23)","دهوراً لا تنقطع","Tidevarv","لَّابِثِينَ فِيهَا أَحْقَابًا","där de skall förbli under långa tidevarv"
21,"بَرْدًا","النبأ (24)","نومًا أو راحة","Svalka","لَّا يَذُوقُونَ فِيهَا بَرْدًا وَلَا شَرَابًا","där de varken skall finna svalka eller dryck"
22,"غَسَّاقًا","النبأ (25)","صديد أهل النار","Var / Vätska","إِلَّا حَمِيمًا وَغَسَّاقًا","utom skållhett vatten och en vätska av var"
23,"وِفَاقًا","النبأ (26)","موافقاً للعمل","Rättvis","جَزَاءً وِفَاقًا","en rättvis lön [för vad de gjorde]"
24,"كِذَّابًا","النبأ (28)","تكذيباً شديداً","Förnekande","وَكَذَّبُوا بِآيَاتِنَا كِذَّابًا","och de förnekade envist Våra budskap"
25,"كَعْبًا","النبأ (33)","بارزة الثدي","Ungmöar","وَكَوَاعِبَ أَتْرَابًا","och ungmöar av samma ålder"
26,"دِهَاقًا","النبأ (34)","ممتلئة صافية","Bräddfulla","وَكَأْسًا دِهَاقًا","och bägare bräddfulla [med dryck]"
27,"لَغْوًا","النبأ (35)","كلاماً باطلاً","Tomt tal","لَّا يَسْمَعُونَ فِيهَا لَغْوًا وَلَا كِذَّابًا","Där skall de inte höra tomt tal eller lögner"
28,"صَفًّا","النبأ (38)","مصطفين","På rad","يَوْمَ يَقُومُ الرُّوحُ وَالْمَلَائِكَةُ صَفًّا","Den Dag då Ängeln och änglarna står uppställda på rad"
29,"الْغَرْقَا","النازعات (1)","انتزاع الروح بشدة","Sliter (våldsamt)","وَالنَّازِعَاتِ غَرْقًا","VID DEM som sliter [själarna ur de förhärdade syndarnas kroppar]"
30,"النَّشْطَا","النازعات (2)","اخراج الروح برفق","Löser (varsamt)","وَالنَّاشِطَاتِ نَشْطًا","vid dem som varsamt löser [de goda själarna]"
31,"السَّبْحَا","النازعات (3)","السير السريع","Svävar","وَالسَّابِحَاتِ سَبْحًا","vid dem som svävar fritt"
32,"السَّبْقَا","النازعات (4)","المسارعة للأمر","Ilart","فَالسَّابِقَاتِ سَبْقًا","och som ilar fram"
33,"الرَّاجِفَةُ","النازعات (6)","النفخة الأولى","Den första stöten","يَوْمَ تَرْجُفُ الرَّاجِفَةُ","En Dag skall [jorden] skakas av den första stöten"
34,"الرَّادِفَةُ","النازعات (7)","النفخة الثانية","Den andra stöten","تَتْبَعُهَا الرَّادِفَةُ","följd av den andra"
35,"وَاجِفَةٌ","النازعات (8)","خائفة مضطربة","Bävande","قُلُوبٌ يَوْمَئِذٍ وَاجِفَةٌ","Den Dagen skall människohjärtan bultande av ångest"
36,"الْحَافِرَةِ","النازعات (10)","الحالة الأولى (الحياة)","Tidigare tillstånd","أَإِنَّا لَمَرْدُودُونَ فِي الْحَافِرَةِ","Skall vi föras tillbaka till vårt tidigare tillstånd"
37,"النَّاخِرَةِ","النازعات (11)","بالية متفتتة","Murkna","عِظَامًا نَّخِرَةً","multna ben"
38,"زَجْرَةٌ","النازعات (13)","صيحة شديدة","Ett enda rop","فَإِنَّمَا هِيَ زَجْرَةٌ وَاحِدَةٌ","Det skall bli ett enda rop"
39,"السَّاهِرَةِ","النازعات (14)","وجه الأرض","Den öppna vidden","فَإِذَا هُم بِالسَّاهِرَةِ","och se, de är alla samlade på den [öppna] vidden"
40,"طُوًى","النازعات (16)","اسم الوادي","Tuwa","بِالْوَادِ الْمُقَدَّسِ طُوًى","i den heliga dalen Tuwa"
41,"طَغَى","النازعات (17)","تجاوز الحد","Överträtt gränsen","اذْهَبْ إِلَىٰ فِرْعَوْنَ إِنَّهُ طَغَىٰ","Gå till Farao! Han har överträtt alla gränser"
42,"تَزَكَّى","النازعات (18)","تتطهر","Rena dig","فَقُلْ هَل لَّكَ إِلَىٰ أَن تَزَكَّىٰ","och säg: Är du villig att rena dig"
43,"أَدْبَرَ","النازعات (22)","ولّى معرضاً","Vände ryggen till","ثُمَّ أَدْبَرَ يَسْعَىٰ","Vände han ryggen till och skyndade bort"
44,"سَمْكَهَا","النازعات (27)","سقفها/ارتفاعها","Dess valv","رَفَعَ سَمْكَهَا فَسَوَّاهَا","Han har rest dess valv och format den"
45,"أَغْطَشَ","النازعات (29)","أظلم","Förmörkat","وَأَغْطَشَ لَيْلَهَا وَأَخْرَجَ ضُحَاهَا","Han har låtit mörker täcka dess natt"
46,"دَحَاهَا","النازعات (30)","بسطها","Brett ut den","وَالْأَرْضَ بَعْدَ ذَٰلِكَ دَحَاهَا","Och därefter har Han brett ut jorden"
47,"أَرْسَاهَا","النازعات (32)","ثبتها (الجبال)","Stadgat den","وَالْجِبَالَ أَرْسَاهَا","och Han har stadgat bergen"
48,"الطَّامَّةُ","النازعات (34)","المصيبة العظمى","Den stora prövningen","فَإِذَا جَاءَتِ الطَّامَّةُ الْكُبْرَىٰ","Men när den stora, avgörande prövningen kommer"
49,"الْمَأْوَىٰ","النازعات (39)","المسكن/المصير","Härbärget","فَإِنَّ الْجَحِيمَ هِيَ الْمَأْوَىٰ","skall helvetet bli hans härbärge"
50,"مُرْسَاهَا","النازعات (42)","وقت وقوعها","Inyträffa","أَيَّانَ مُرْسَاهَا","När skall den inträffa"
51,"عَشِيَّةً","النازعات (46)","وقت العصر/الغروب","En afton","لَمْ يَلْبَثُوا إِلَّا عَشِيَّةً أَوْ ضُحَاهَا","som om de inte hade dröjt kvar mer än en afton"
52,"عَبَسَ","عبس (1)","قطب وجهه","Rynkade pannan","عَبَسَ وَتَوَلَّىٰ","HAN RYNKADE pannan och vände sig bort"
53,"تَوَلَّىٰ","عبس (1)","أعرض","Vände sig bort","عَبَسَ وَتَوَلَّىٰ","HAN RYNKADE pannan och vände sig bort"
54,"الأَعْمَىٰ","عبس (2)","الضرير","Den blinde","أَن جَاءَهُ الْأَعْمَىٰ","därför att den blinde mannen kom till honom"
55,"يَزَّكَّىٰ","عبس (3)","يتطهر من الذنب","Renad","وَمَا يُدْرِيكَ لَعَلَّهُ يَزَّكَّىٰ","Men vad kunde du veta? Han kanske ville bli renad"
56,"تَصَدَّىٰ","عبس (6)","تتعرض له وتقبل","Ägnar uppmärksamhet","فَأَنتَ لَهُ تَصَدَّىٰ","ägnar du all uppmärksamhet"
57,"تَلَهَّىٰ","عبس (10)","تنشغل عنه","Låter dig distraheras","فَأَنتَ عَنْهُ تَلَهَّىٰ","låter du dig distraheras [av annat]"
58,"سَفَرَةٍ","عبس (15)","الكتبة (الملائكة)","Händer (Änglar)","بِأَيْدِي سَفَرَةٍ","nedtecknade av [Änglarnas] händer"
59,"بَرَرَةٍ","عبس (16)","أتقياء/صادقين","Fromma","كِرَامٍ بَرَرَةٍ","ädla, fromma"
60,"أَقْبَرَهُ","عبس (21)","جعل له قبراً","Lagt i graven","ثُمَّ أَمَاتَهُ فَأَقْبَرَهُ","Låter Han honom dö och läggas i graven"
61,"أَنشَرَهُ","عبس (22)","أحياه وبعثه","Väcka till liv","ثُمَّ إِذَا شَاءَ أَنشَرَهُ","och Han skall väcka honom till liv när Han vill"
62,"شَقَقْنَا","عبس (26)","صدعنا","Klyver","ثُمَّ شَقَقْنَا الْأَرْضَ شَقًّا","Därefter klyver Vi jorden"
63,"قَضْبًا","عبس (28)","علفاً","Grönska / Foder","وَعِنَبًا وَقَضْبًا","och vinrankor och grönska"
64,"غُلْبًا","عبس (30)","عظيمة الأشجار","Lummiga","وَحَدَائِقَ غُلْبًا","och lummiga trädgårdar"
65,"أَبًّا","عبس (31)","المرعى","Bete","وَفَاكِهَةً وَأَبًّا","frukt och bete"
66,"الصَّاخَّةُ","عبس (33)","الصيحة العظيمة","Det bedövande dånet","فَإِذَا جَاءَتِ الصَّاخَّةُ","Men när det bedövande dånet ljuder"
67,"مُسْفِرَةٌ","عبس (38)","مضيئة","Strålande","وُجُوهٌ يَوْمَئِذٍ مُّسْفِرَةٌ","Den Dagen skall ansikten stråla av ljus"
68,"غَبَرَةٌ","عبس (40)","غبار","Damm","وَوُجُوهٌ يَوْمَئِذٍ عَلَيْهَا غَبَرَةٌ","och ansikten skall vara täckta av damm"
69,"قَتَرَةٌ","عبس (41)","سواد","Mörker","تَرْهَقُهَا قَتَرَةٌ","höljda i mörker"
70,"الْكَفَرَةُ","عبس (42)","الجاحدون","Förnekarna","أُولَٰئِكَ هُمُ الْكَفَرَةُ الْفَجَرَةُ","det är förnekarna, de som har sjunkit djupt i synd"
71,"كُوِّرَتْ","التكوير (1)","لُفت/ذهب نورها","Lindas ihop","إِذَا الشَّمْسُ كُوِّرَتْ","När solen lindas ihop"
72,"انكَدَرَتْ","التكوير (2)","تناثرت","Faller / Slocknar","وَإِذَا النُّجُومُ انكَدَرَتْ","och stjärnorna faller och slocknar"
73,"سُيِّرَتْ","التكوير (3)","حركت","Sätts i rörelse","وَإِذَا الْجِبَالُ سُيِّرَتْ","och bergen sätts i rörelse"
74,"الْعِشَارُ","التكوير (4)","النوق الحوامل","De dräktiga stona","وَإِذَا الْعِشَارُ عُطِّلَتْ","och de dräktiga stona lämnas utan tillsyn"
75,"عُطِّلَتْ","التكوير (4)","أهملت بلا راع","Lämnas utan tillsyn","وَإِذَا الْعِشَارُ عُطِّلَتْ","och de dräktiga stona lämnas utan tillsyn"
76,"سُجِّرَتْ","التكوير (6)","أوقدت","Sätts i brand","وَإِذَا الْبِحَارُ سُجِّرَتْ","och haven sätts i brand"
77,"النُّفُوسُ","التكوير (7)","الأرواح","Själarna","وَإِذَا النُّفُوسُ زُوِّجَتْ","och människosjälarna [sorteras och] paras ihop"
78,"الْمَوْءُودَةُ","التكوير (8)","المدفونة حية","Flickan som begravdes levande","وَإِذَا الْمَوْءُودَةُ سُئِلَتْ","och den lilla flickan som begravdes levande tillfrågas"
79,"كُشِطَتْ","التكوير (11)","نزعت","Dragas undan","وَإِذَا السَّمَاءُ كُشِطَتْ","och himlen skall dragas undan"
80,"سُعِّرَتْ","التكوير (12)","أضرمت","Tänds på","وَإِذَا الْجَحِيمُ سُعِّرَتْ","och helvetets ugn tänds på"
81,"أُزْلِفَتْ","التكوير (13)","قربت","Förs fram","وَإِذَا الْجَنَّةُ أُزْلِفَتْ","och paradiset förs fram"
82,"الْخُنَّسِ","التكوير (15)","الكواكب المختفية","De som drar sig tillbaka","فَلَا أُقْسِمُ بِالْخُنَّسِ","Jag kallar att vittna de [stjärnor] som drar sig tillbaka"
83,"الْجَوَارِ","التكوير (16)","الكواكب السائرة","De som löper","الْجَوَارِ الْكُنَّسِ","som löper [sitt lopp] och döljer sig"
84,"الْكُنَّسِ","التكوير (16)","التي تستتر","De som döljer sig","الْجَوَارِ الْكُنَّسِ","som löper [sitt lopp] och döljer sig"
85,"عَسْعَسَ","التكوير (17)","أقبل بظلامه","Drar bort / Mörknar","وَاللَّيْلِ إِذَا عَسْعَسَ","och natten, när den drar bort"
86,"تَنَفَّسَ","التكوير (18)","أضاء وظهر","Andas (Gryr)","وَالصُّبْحِ إِذَا تَنَفَّسَ","och morgonen, när den andas [och gryr]"
87,"مَكِينٍ","التكوير (20)","ذو مكانة","Makt (Ställning)","ذِي قُوَّةٍ عِندَ ذِي الْعَرْشِ مَكِينٍ","med makt och rang hos Honom som tronar i Majestät"
88,"مُطَاعٍ","التكوير (21)","يطيعه الملائكة","Åtlydd","مُّطَاعٍ ثَمَّ أَمِينٍ","åtlydd [i den höga Världen] och trodd"
89,"ضَنِينٍ","التكوير (24)","بخيل","Snål","وَمَا هُوَ عَلَى الْغَيْبِ بِضَنِينٍ","och han undanhåller ingenting av det som är dolt"
90,"انفَطَرَتْ","الانفطار (1)","انشقت","Rämnar","إِذَا السَّمَاءُ انفَطَرَتْ","När himlen rämnar"
91,"انتَثَرَتْ","الانفطار (2)","تساقطت","Faller","وَإِذَا الْكَوَاكِبُ انتَثَرَتْ","och stjärnorna faller"
92,"فُجِّرَتْ","الانفطار (3)","فتحت","Öppnar sig","وَإِذَا الْبِحَارُ فُجِّرَتْ","och haven öppnar sig"
93,"بُعْثِرَتْ","الانفطار (4)","قلب ترابها","Vänds upp och ned","وَإِذَا الْقُبُورُ بُعْثِرَتْ","och gravarna vänds upp och ned"
94,"غَرَّكَ","الانفطار (6)","خدعك","Förtlett dig","مَا غَرَّكَ بِرَبِّكَ الْكَرِيمِ","vad har förtlett dig att trotsa din Herre"
95,"فَعَدَلَكَ","الانفطار (7)","سوى خلقك","Skapat dig fullkomlig","خَلَقَكَ فَسَوَّاكَ فَعَدَلَكَ","Han som har skapat dig och format dig och gjort dig till en fullkomlig skapelse"
96,"رَكَّبَكَ","الانفطار (8)","صورك","Satte samman dig","فِي أَيِّ صُورَةٍ مَّا شَاءَ رَكَّبَكَ","och som gav dig den gestalt Han ville"
97,"لَحَافِظِينَ","الانفطار (10)","ملائكة مراقبين","Väktare","وَإِنَّ عَلَيْكُمْ لَحَافِظِينَ","Men [himmelska] väktare vakar över er"
98,"يَصْلَوْنَهَا","الانفطار (15)","يدخلونها","Brinna i den","يَصْلَوْنَهَا يَوْمَ الدِّينِ","där de skall brinna på Domens dag"
99,"الْمُطَفِّفِينَ","المطففين (1)","المنقصين للمكيال","De som snålar","وَيْلٌ لِّلْمُطَفِّفِينَ","VE DEM som snålar med mått och vikt"
100,"اكْتَالُوا","المطففين (2)","اشتروا بالكيل","Mäter upp","الَّذِينَ إِذَا اكْتَالُوا عَلَى النَّاسِ يَسْتَوْفُونَ","de som, när de mäter upp åt sig själva, kräver fullt mått"
101,"يَسْتَوْفُونَ","المطففين (2)","يأخذون كاملاً","Kräver fullt","يَسْتَوْفُونَ","kräver fullt mått"
102,"كَالُوهُمْ","المطففين (3)","باعوا لغيرهم","Mäter åt andra","وَإِذَا كَالُوهُمْ","men som, när de mäter [åt andra]"
103,"يُخْسِرُونَ","المطففين (3)","ينقصون","Ger knappt","يُخْسِرُونَ","ger knappt mått"
104,"سِجِّينٍ","المطففين (7)","كتاب الفجار/سجن","Sijjin","إِنَّ كِتَابَ الْفُجَّارِ لَفِي سِجِّينٍ","Nej! De ondas bok finns i Sijjin"
105,"مَرْقُومٌ","المطففين (9)","مكتوب","Tydlig skrift","كِتَابٌ مَّرْقُومٌ","Det är en tydlig skrift"
106,"رَانَ","المطففين (14)","غطى (الصدأ)","Rost","بَلْ ۜ رَانَ عَلَىٰ قُلُوبِهِم","har lagt sig som rost på deras hjärtan"
107,"أَرَائِكِ","المطففين (23)","أسرة مزينة","Soffor","عَلَى الْأَرَائِكِ يَنظُرُونَ","[som vilar] på höga soffor och ser sig omkring"
108,"نَضْرَةَ","المطففين (24)","بهجة","Glans","نَضْرَةَ النَّعِيمِ","lycksalighetens glans"
109,"رَحِيقٍ","المطففين (25)","خمر صافية","Nektar","يُسْقَوْنَ مِن رَّحِيقٍ مَّخْتُومٍ","De bjuds att dricka en förseglad, ädel nektar"
110,"مَخْتُومٍ","المطففين (25)","مغلق","Förseglad","رَّحِيقٍ مَّخْتُومٍ","förseglad nektar"
111,"تَسْنِيمٍ","المطففين (27)","عين عالية","Tasnim","وَمِزَاجُهُ مِن تَسْنِيمٍ","blandat med [vatten från källan] Tasnim"
112,"فَكِهِينَ","المطففين (31)","مسرورين/ساخرين","Skämtande","انقَلَبُوا فَكِهِينَ","återvände de skämtande [om de troende]"
113,"انشَقَّتِ","الانشقاق (1)","تصدعت","Brister i stycken","إِذَا السَّمَاءُ انشَقَّتْ","När himlen brister i stycken"
114,"أَذِنَتْ","الانشقاق (2)","استمعت وانقادت","Lystrar","وَأَذِنَتْ لِرَبِّهَا وَحُقَّتْ","och lystrar till sin Herre"
115,"مُدَّتْ","الانشقاق (3)","بسطت","Planats ut","وَإِذَا الْأَرْضُ مُدَّتْ","och när jorden har planats ut"
116,"تَخَلَّتْ","الانشقاق (4)","فرغت ما فيها","Tömmer sig","وَأَلْقَتْ مَا فِيهَا وَتَخَلَّتْ","och kastar upp vad den gömmer och tömmer sig"
117,"كَادِحٌ","الانشقاق (6)","ساعٍ بجهد","Strävar","إِنَّكَ كَادِحٌ إِلَىٰ رَبِّكَ كَدْحًا","du strävar och strävar mot din Herre"
118,"ثُبُورًا","الانشقاق (11)","هلاكاً","Förintelse","وَيَدْعُو ثُبُورًا","skall han ropa på förintelse"
119,"يَحُورَ","الانشقاق (14)","يرجع","Vända åter","إِنَّهُ ظَنَّ أَن لَّن يَحُورَ","Han trodde att han aldrig skulle behöva vända åter [till Gud]"
120,"الشَّفَقِ","الانشقاق (16)","حمرة الأفق","Aftonrodnaden","فَلَا أُقْسِمُ بِالشَّفَقِ","Jag kallar aftonrodnaden att vittna"
121,"وَسَقَ","الانشقاق (17)","جمع وضم","Samlar in","وَاللَّيْلِ وَمَا وَسَقَ","Jag kallar natten och vad den döljer"
122,"اتَّسَقَ","الانشقاق (18)","اكتمل واستوى","Blir full","وَالْقَمَرِ إِذَا اتَّسَقَ","och månen, när den blir full"
123,"طَبَقًا","الانشقاق (19)","حالاً بعد حال","Stadium","لَتَرْكَبُنَّ طَبَقًا عَن طَبَقٍ","att ni helt säkert skall gå igenom det ena stadiet efter det andra"
124,"الْبُرُوجِ","البروج (1)","منازل النجوم","Stjärnbilderna","وَالسَّمَاءِ ذَاتِ الْبُرُوجِ","VID HIMLEN med dess stjärnbilder"
125,"مَشْهُودٍ","البروج (3)","مشاهَد (الجمعة/عرفة)","Det bevittnade","وَشَاهِدٍ وَمَشْهُودٍ","vid vittnet och det bevittnade"
126,"الْأُخْدُودِ","البروج (4)","الشق العظيم","Gropen","قُتِلَ أَصْحَابُ الْأُخْدُودِ","Fördömda vare männen som grävde gropen"
127,"الْوَدُودُ","البروج (14)","المحب لأوليائه","Den Kärleksfulle","وَهُوَ الْغَفُورُ الْوَدُودُ","Han är Den som ständigt förlåter, den Kärleksfulle"
128,"الْمَجِيدُ","البروج (15)","العظيم","Den Ärorike","ذُو الْعَرْشِ الْمَجِيدُ","Herren till Tronen, den Ärorike"
129,"بَطْشَ","البروج (12)","أخذ وعقاب","Grepp","إِنَّ بَطْشَ رَبِّكَ لَشَدِيدٌ","Din Herres grepp är sannerligen hårt"
130,"مَحْفُوظٍ","البروج (22)","مصان","Väl bevarad","فِي لَوْحٍ مَّحْفُوظٍ","[som finns] på en tavla, väl bevarad"
131,"الطَّارِقِ","الطارق (1)","النجم الليلي","Den nattlige besökaren","وَالسَّمَاءِ وَالطَّارِقِ","VID HIMLEN och den nattlige besökaren"
132,"الثَّاقِبُ","الطارق (3)","المضيء","Den klart lysande","النَّجْمُ الثَّاقِبُ","[det är] stjärnan som lyser med klart sken"
133,"حَافِظٌ","الطارق (4)","ملك رقيب","Väktare","إِن كُلُّ نَفْسٍ لَّمَّا عَلَيْهَا حَافِظٌ","Varenda människa har en väktare över sig"
134,"دَافِقٍ","الطارق (6)","مصبوب بسرعة","Framvällande","خُلِقَ مِن مَّاءٍ دَافِقٍ","skapad av en droppe framvällande vätska"
135,"الصُّلْبِ","الطارق (7)","الظهر","Ländryggen","يَخْرُجُ مِن بَيْنِ الصُّلْبِ وَالتَّرَائِبِ","som väller fram mellan ländryggen och bäckenet"
136,"التَّرَائِبِ","الطارق (7)","عظام الصدر","Bäckenet (Bröstkorgen)","الصُّلْبِ وَالتَّرَائِبِ","mellan ländryggen och bäckenet"
137,"السَّرَائِرُ","الطارق (9)","الخفايا","Hemligheterna","يَوْمَ تُبْلَى السَّرَائِرُ","den Dag då [alla] hemligheter skall dras fram i ljuset"
138,"الرَّجْعِ","الطارق (11)","المطر","Regnet","وَالسَّمَاءِ ذَاتِ الرَّجْعِ","Vid himlen, som sänder regnet åter och åter"
139,"الصَّدْعِ","الطارق (12)","النبات (الشق)","Som spricker","وَالْأَرْضِ ذَاتِ الصَّدْعِ","och jorden, som spricker när växterna spirar"
140,"فَصْلٌ","الطارق (13)","قول قاطع","Sanningens ord","إِنَّهُ لَقَوْلٌ فَصْلٌ","Detta är i sanning Sanningens ord"
141,"الْهَزْلِ","الطارق (14)","اللعب","Skämt","وَمَا هُوَ بِالْهَزْلِ","det är inget skämt"
142,"رُوَيْدًا","الطارق (17)","قليلاً","En kort stund","فَمَهِّلِ الْكَافِرِينَ أَمْهِلْهُمْ رُوَيْدًا","Låt de otrogna hållas, ge dem anstånd en kort stund"
143,"الْمَرْعَىٰ","الأعلى (4)","العشب","Grönskan","وَالَّذِي أَخْرَجَ الْمَرْعَىٰ","Han som låter grönskan spira"
